date,amount,descr
19/07/2019,-7.5,dol
15/08/2019,-100.65,um
08/08/2020,-4.97,sol
18/12/2019,-19.75,io
21/05/2020,-35.5,um
31/05/2021,-902,jah
03/05/2021,-1356,cham
31/10/2019,-13.8,dol
10/01/2020,-25,dol
14/12/2019,-114.06,sol
16/06/2020,-19.78,sol
13/07/2019,-35.5,dol
31/03/2020,-75,gul
03/09/2019,-26,dol
26/04/2021,-9.46,sol
25/10/2019,-20.5,sol
28/06/2020,-3,sol
18/10/2020,-3,sol
26/10/2019,-36.78,sol
02/11/2019,-2.4,sol
21/12/2020,-2.01,sol
23/07/2019,-18,dol
28/04/2020,-75,gul
28/10/2020,-75,gul
26/08/2020,-75,gul
10/05/2021,-25.9,dol
12/01/2020,-32.35,sol
08/02/2020,-13,dol
20/11/2019,-12.8,dol
24/12/2019,-29,dol
11/06/2020,-5.33,sol
31/07/2020,-43.58,sol
24/05/2021,-12.5,dol
25/10/2020,-2.5,sol
24/07/2019,-100,ohm
10/07/2021,-31.3,sol
01/11/2019,-9,dol
24/06/2021,-19.99,ko
20/09/2019,-39.45,sol
25/04/2021,-6,dol
12/04/2021,-12.5,dol
11/10/2019,-8,dol
18/01/2020,-36.66,sol
29/06/2021,-20.26,hel
03/01/2021,-13.45,sol
29/12/2019,-2.6,sol
05/08/2020,-30.22,sol
26/02/2021,-42.88,sol
06/06/2021,-37.01,sol
19/09/2019,-80,ohm
30/04/2020,-902,jah
24/10/2019,-32.5,dol
21/07/2020,-3,sol
30/11/2019,-75,gul
20/01/2021,-31.2,um
14/03/2020,-81.81,sol
23/11/2019,-5.73,dol
14/03/2021,-14.35,sol
19/03/2021,-10.4,dol
09/01/2021,-229.99,fal
20/06/2020,-45.44,sol
28/02/2020,-4,dol
26/07/2019,-75,gul
31/08/2020,-902,jah
09/04/2021,-10.4,dol
08/03/2021,-9.27,sol
23/07/2019,-5.06,sol
23/04/2021,-37.91,sol
19/12/2019,-43,dol
03/10/2019,-13.3,dol
30/09/2020,-902,jah
28/08/2019,-79.54,vex
22/09/2020,-34,um
14/04/2020,-4.67,sol
03/11/2020,-40,ohm
29/03/2021,-14.5,dol
